title,abstract,organization,investigators,grant_org,grant_money,source,total_participants,male_participants,female_participants,pct_male,pct_female,grant_date,x_axis,y_axis
Treatment for Adolescents with Depression Study (TADS)/Substance Use and Other Outcomes Following Treatment for Adolescent Depression (SOFTAD ),"TADS is designed to compare the effectiveness of established treatments for teenagers suffering from major depressive disorder (MDD). The treatments are: psychotherapy (""talking therapy""); medication; and the combination of psychotherapy and medication. Altogether, 432 teenagers (both males and females) ages 12 to 17, will take part in this study at 12 sites in the United States.The TADS design will provide answers to the following questions: What is the long-term effectiveness of medication treatment ... more",,John F. Curry and John March,Duke University,2764421,Lab,439,200,239,0.455580866,0.544419134,9/1/03,col_01,row_19
Restricted Interests and Repetitive Behaviors in Autism,Collection of a broad array of phenotyping measures in adolescents with high and low functioning autism spectrum disorders that exhibit repetitive behaviors and restricted interest sets,University of North Carolina at Chapel Hill,Gabriel Dichter,Nc State Dept/Hlth & Human Services,849529,Lab,196,152,44,0.775510204,0.224489796,7/13/04,col_01,row_20
Treatment of Bipolar Mania in Older Adults (GERI-BD),"This is the first controlled acute treatment study of bipolar disorder in adults 60 years or older with current DSM-IV manic, mixed, or hypomanic episodes. The number of older adults with severe and disabling bipolar disorder is increasing, and information to guide the management of the treatment of the disease is lacking in this population. Guidelines for treatment of younger people with bipolar disorder cannot be used for older people, and there are no safety and efficacy data upon which to base ... more",,"Robert Young, John Beyer, Laszlo Gyulai, Benoit Mulsant, Martha Sajatovic, Lauren Marangell",Weill Medical Coll Of Cornell Univ,650051,Lab,224,115,109,0.513392857,0.486607143,8/1/05,col_01,row_21
Preventing Relapse in Schizophrenia: Oral Antipsychotics Compared To Injectables: Evaluating Efficacy (PROACTIVE),"As is the case with many chronic illnesses, it can be challenging for people with schizophrenia to take multiple pills every day on a long-term basis. At the same time, missing or discontinuing the anti-psychotic medications that treat schizophrenia substantially increases the risk of relapse and re-hospitalization. This study will determine how effective long-acting injectable risperidone is compared to oral antipsychotic medications to help patients who have schizophrenia. Patients who enroll in ... more",,Nina R. Schooler,University Of New Mexico,1015280,Lab,309,89,220,0.28802589,0.71197411,2/1/06,col_02,row_01
Early Language Development within the Autism Spectrum,This project obtained behavioral data focused on early language and communication development in autism spectrum disorders (ASD). These data were obtained from a sample of young children residing in the state of Wisconsin. All children were between 2-3 years when enrolled in the research project and were continued to be seen annually for re-assessment.A multidisciplinary team of psychologists and speech-language pathologists conducted the evaluations at the Waisman Center on the University of Wisconsin-Madison ... more,University of Wisconsin-Madison,Susan Ellis-Weismer,University Of Wisconsin-Madison,2631949,Lab,97,84,13,0.865979381,0.134020619,7/1/06,col_02,row_02
Development and validation of software for Internet and PC SCID administration,"""The overall aim of this project is to develop and validate software for computer-assisted administration of the Structured Clinical Interview for DSM-IV Axis I Disorders (SCID) Research Version. The SCID is consistently recognized as the gold standard instrument for generating accurate psychiatric diagnoses, but is cumbersome and expensive to administer. The proposed project will develop Internet-based software to automate the",TeleSage Health Outcomes Inc,Benjamin Brodey,"Telesage, Inc.",99534,Lab,1255,433,822,0.34501992,0.65498008,5/26/07,col_02,row_03
Longitudinal MRI Study of Infants at Risk for Autism,"Research data for the IBIS Autism project. Autism Centers of Excellence (ACE) Network is a collaborative effort by investigators at four clinical sites: University of North Carolina (UNC), University of Washington (UW), Washington University (WU), and Yale University; and one data coordinating center (DCC) at the Montreal Neurological Institute (MNI) to conduct a longitudinal MRI/DTI and behavioral study of infants at high risk for autism (i.e., siblings of autistic individuals) at 6, 12 and 24 months ... more",University of North Carolina at Chapel Hill,Joe Piven,Univ Of North Carolina Chapel Hill,16026783,Lab,1024,710,314,0.693359375,0.306640625,7/1/07,col_02,row_04
Electrophysiologic Studies of Language Impairment in ASD (Years 1-5),6-15 year old children recruited for MEG studies of auditory processing,Children's Hospital of Philadelphia,Timothy Roberts,Childrens Hosp Of Philadelphia,1960285,Lab,227,175,52,0.77092511,0.22907489,7/1/07,col_02,row_05
UIC ACE: Translational Studies of Insistence on Sameness in Autism,"The UIC ACE was focused on the genetics, neurobiology, cognitive and affective processes, and pharmacology of insistence on sameness (IS) in autism spectrum disorders (ASD). A large sample of children with self-reported autism spectrum disorder will be screened by the Assessment Core for further screening by administration of the ADI-R to the parents. Probands meeting ADI-R criteria for autistic disorder will be recruited for further study if they are also classified by the ADI-R IS items as high ... more",University of Illinois at Chicago,Ed Cook,University Of Illinois At Chicago,9528855,Lab,755,458,297,0.606622517,0.393377483,8/6/07,col_02,row_06
Biological and Information Processing Mechanisms Underlying Autism,"This center focuses on elucidating fundamental information processing and neurobiological mechanisms causing autism with studies of infant siblings, first-diagnosed toddlers, and groups of children, adolescents, and adults with and without autism. Project I: Development of Categorization Knowledge in Low Functioning Autism focuses on the earliest manifestations of autism and information processing mechanisms underlying social and cognitive symptoms. Project II: Disturbances of Affective Contact: ... more",University of Pittsburgh Medical Center,"Nancy Minshew, M.D., Mark Strauss, Ph.D., Kevin Pelphrey, Ph.D., Marcel Just, Ph.D., Thomas Mitchell, Ph.D., and Diane Williams, Ph.D.",University Of Pittsburgh At Pittsburgh,9700596,Lab,991,659,332,0.664984864,0.335015136,8/6/07,col_02,row_07
Biomarkers of Autism at 12 Months: From Brain Overgrowth to Genes,"Behavioral data from the UCSD Autism Center of Excellence. This first data deposit will include Mullen Scales of Early Learning Scores from infants ages 12-36 months who are part of the ACE. Infants represent those at risk for an ASD, language delay (LD) and developmental delay (DD). Normal control data will be deposited as well. **NOTE: Headers from imaging data submitted to this collection contained Personally Identifiable Information (PII) and have been cleaned by NDA Staff**",University of California San Diego,"Eric Courchesne, Karen Pierce and others.","University Of California, San Diego",10322836,Lab,464,362,102,0.780172414,0.219827586,8/6/07,col_02,row_08
UCLA Sigman/Bookheimer ACE and ARRA,ACE Projects: 1) PI Sigman - Infant Sibs. 2) PI Geschwind - Genetics. 3) PI Dapretto - Mirror neuron and imaging. 4) PI Kasari - Optimizing outcomes for toddlers. 5) PI McCracken - Understanding repetitive behaviors. ARRA: PI Bookheimer - Neural and Phenotypic Correlates of Autism Risk Genes,"University of California, Los Angeles","Sigman M, Geschwind D, Bookheimer S",University Of California Los Angeles,11465042,Lab,455,385,70,0.846153846,0.153846154,8/6/07,col_02,row_09
UW ACE Extended Family Study,University of Washington ACE projects,University of Washington,Bryan King,University Of Washington,10998234,Lab,786,468,318,0.595419847,0.404580153,8/6/07,col_02,row_10
Intensive Intervention for Toddlers With Autism (EARLY STEPS),A Multi-Site Randomized Study of Intensive Treatment for Toddlers with Autism,UC Davis MIND Institute,Sally J. Rogers,University Of California At Davis,14775720,Lab,98,76,22,0.775510204,0.224489796,9/20/07,col_02,row_11
Autism genetics: homozygosity mapping and functional validation (Years 1-5),"Although high throughput sequencing (HTS) methods allow systematic analysis of genetic variation across the entire exome, or even the entire genome, the interpretation of this data faces analytical challenges that have by no means been solved. The use of consanguineous pedigrees, in which parents share ancestry, allows the identification of candidate genes that can then be analyzed more broadly in nonconsanguineous families. Consanguineous families 1] reduce the heterogeneity of ASD, 2] simplify ... more",Children's Hospital Boston,Christopher A. Walsh,Boston Childrens Hospital,2849882,Lab,369,234,135,0.634146341,0.365853659,9/28/07,col_02,row_12
Bipolar & Schizophrenia Consortium for Parsing Intermediate Phenotypes (B-SNIP 1),"The overall goal of the proposed research is to examine a broad panel of putative endophenotypes in affected individuals with schizophrenia and bipolar and their unaffected relatives in order to: 1) characterize the degree of familial phenotypic overlap between SZ and psychotic BP; 2) identify patterns of endophenotypes unique t the two disorders, and 3) contrast the heritability of endophenotypes across the disorders. To achieve these goals, we will recruit 500 SZ and 500 BP I (with psychosis) probands, ... more",UT Southwestern Medical School,Carol Tamminga,Yale University,3518485,Lab,2431,1026,1405,0.42204854,0.57795146,9/29/07,col_02,row_13
Consortium for Neuropsychiatric Phenomics,"The Consortium for Neuropsychiatric Phenomics advances the NIH Roadmap Initiative by assembling a transdisciplinary research team of the future to address major unsolved challenges in research on neuropsychiatric disorders. The CNP leverages the new discipline of phenomics the systematic study of phenotypes on a genome-wide scale by integrating basic, clinical and information sciences. Neuropsychiatric disorders have enormous public health significance, and there is currently a broad chasm between ... more","University of California, Los Angeles",Robert M Bilder,University Of California Los Angeles,5804557,Lab,1662,862,800,0.518652226,0.481347774,9/29/07,col_02,row_14
Early Pharmacotherapy Guided by Biomarkers in Autism,Clinical trial of buspirone in young children with autism testing a PET scan of serotonin synthesis as a biomarker of drug response,Wayne State University,Diane C Chugani,Wayne State University,6054366,Lab,159,132,27,0.830188679,0.169811321,2/1/08,col_02,row_15
A Comprehensive Approach to Identification of Autism Susceptibility Genes with the AGRE Center for Genomic and Phenomic Studies in Autism,"AGRE is a DNA repository and family registry, housing a database of genotypic and phenotypic information that is available to autism researchers worldwide.","University of California, Los Angeles",Clara Lajonchere and Dan Geschwind,University Of California Los Angeles,14584906,Lab,2,1,1,0.5,0.5,4/1/08,col_02,row_16
Yale Autism Center of Excellence: Mechanisms of Social Engagement in the Autism Spectrum Disorders,"The Yale ACE consists of 5 project areas and 3 core resources. Projects I, II, and III focus on the same cohort of 12- to 24-month old infants with ASD followed up longitudinally. Project IV involves structural and functional neuroimaging protocols on a group of 10-year-olds with ASD who were extensively characterized at the age of 2 and 4 years. Project V includes cytogenetic studies of the infants evaluated in Projects I, II, and III, and the ASD children evaluated in Project IV. The Administrative ... more",Yale University,Fred Volkmar,Yale University,12080414,Lab,245,194,51,0.791836735,0.208163265,4/1/08,col_02,row_17
Early Autism Risk Longitudinal Investigation (EARLI) Network,"Descriptive data for EARLI (probands and sibling) ADOS, Vineland, SRS, SCQ",Drexel University,Craig Newschaffer,Drexel University,15566054,Lab,729,361,368,0.495198903,0.504801097,4/1/08,col_02,row_18
Synaptic A-to-I RNA editing in autistic and neurotypical cerebella,Ultradeep 454 and Illumina sequencing of cDNA from postmortem cerebella of individuals with ASD and matched neurotypical controls,Boston Children's Hospital,Louis Kunkel,Boston Childrens Hospital,3595969,Lab,25,15,10,0.6,0.4,7/22/08,col_02,row_19
Longitudinal Studies of Autism Spectrum Disorders: From 2 to 23,Longitudinal Studies of Autism Spectrum Disorders (ASD): From 2 to 23 - Increasing Understanding of Nonverbal School-Aged Children and Children with Limited Language Skills,University of Michigan,"Cathy Lord, Ph. D",Weill Medical Coll Of Cornell Univ,2692305,Lab,63,49,14,0.777777778,0.222222222,9/1/08,col_02,row_20
Predicting Useful Speech in Children With Autism,"Predicting Useful Speech in Children with ASD: Analyzing speech processing, word processing, and pre-speech vocalizations",Vanderbilt University,Paul Yoder,Vanderbilt University,2940391,Lab,150,86,64,0.573333333,0.426666667,2/1/09,col_02,row_21
Atypical Late Neurodevelopment in Autism,Longitudinal neuroimaging and neuropsychological study to understand how brain mechanisms and clinical phenotypes in autism are related.,University of Wisconsin-Madison,"Janet E Lainhart, MD",University Of Utah,1577534,Lab,174,168,6,0.965517241,0.034482759,4/1/09,col_03,row_01
Autism in the second half of the lifespan,"Behavior, daily living, service needs. As a first step toward identifying and understanding the effects of aging in ASD, we propose to examine individuals in middle and later-age (30-70 years) in order to: (1) Characterize current living situations, support needs and available support systems for adults with ASD and the influence of demographic factors on these variables; (2) Determine the effect of age on cognitive and motor abilities in adults with ASD in comparison to normal control adults; (3) ... more",University of California San Diego,Ruth Carper,"University Of California, San Diego",534149,Lab,59,47,12,0.796610169,0.203389831,9/30/09,col_03,row_01
Neurobehavioral Research on Infants at Risk for SLI and Autism,The specific aims of the research are (1) to identify markers that distinguish between infants at risk for SLI or ASD and low risk controls; (2) to identify the predictors of later SLI and ASD diagnoses (at 36 months of age) from measures collected between 6 and 12 months of age; and (3) to compare developmental trajectories of key language and related social/cognitive measures between 6 and 36 months in infants with and without clinical outcomes. These aims will be pursued in a longitudinal ... more,Boston University,Helen Tager-flusberg,Boston University (Charles River Campus),3953029,Lab,33,25,8,0.757575758,0.242424242,7/1/09,col_03,row_02
A Comparison of Long-acting Injectable Medications for Schizophrenia (ACLAIMS),"The purpose of this research study is to compare the ""real-world"" effectiveness of two FDA-approved and widely used long-acting injectable antipsychotic medications (paliperidone palmitate and haloperidol decanoate) in patients with schizophrenia or schizoaffective disorder who are expected to benefit from the improved medication compliance associated with injectable medications. The goal is to evaluate the effects of the medications on outcomes of importance to patients (relapse, symptoms, adverse ... more",,Joseph McEvoy and Scott Stroup,Duke University,1651336,Lab,315,234,81,0.742857143,0.257142857,7/1/09,col_03,row_03
School-Age Children with Autism with Limited Expressive Language Intervention,School-Age Children with Autism with Limited Expressive Language Skills: An Intervention Study,Kennedy Krieger Institute,Rebecca Landa,Hugo W. Moser Res Inst Kennedy Krieger,3725900,Lab,14,9,5,0.642857143,0.357142857,7/16/09,col_03,row_04
Child-Initiated Interactions and Autism Intervention,Data for a project to examine specific intervention components during language intervention and social communication.,University of California at Santa Barbara,Robert Koegel,University Of California Santa Barbara,739435,Lab,4,3,1,0.75,0.25,9/11/09,col_03,row_05
Early Detection of Autism through Acoustic Analysis of Cry,"This team will work collaboratively to develop a new acoustic analysis system for infant cry based on state of the art acoustical engineering and computer technology. In particular, we will utilize advances in digital signal processing to yield more accurate and robust detection and modeling of infant cry acoustics. We will then validate this new system against our current system by using a large data bank of cries already collected, including cries of infants who were later diagnosed with autism ... more",Women & Infants Hospital,Stephen J. Sheinkopf,Women And Infants Hospital-Rhode Island,517219,Lab,769,411,358,0.534460338,0.465539662,9/11/09,col_03,row_06
Sensory Integration Treatment in ASD,"Sensory integration deficit is a controversial but widely used diagnostic classification in ASD and sensory integration (SI) based treatment is commonly provided to children with autism spectrum disorder, but has an extremely limited evidence base. The purpose of this proposal will be to complete developmental analyses in preparation for a relatively large randomized comparison trial examining the effects of commonly implemented sensory integration treatment techniques on communication development ... more",Vanderbilt University School of Medicine,Stephen Camarata & Mark Wallace,Vanderbilt University,681605,Lab,50,44,6,0.88,0.12,9/17/09,col_03,row_07
CBT for Anxiety in Adolescents with Autism,"The purpose of the research study is to see how well a cognitive-behavioral psychotherapy program works to reduce anxiety in adolescents with autism spectrum disorders. This collection will contain data associated with this project. Including but not limited to the: ADIS, PARS, SACA, ADI-R, ADOS, WISC, and various self report measures completed by the parents and adolescents.",University of South Florida,"Eric A. Storch, Ph.D.",University Of South Florida,423402,Lab,28,21,7,0.75,0.25,9/21/09,col_03,row_08
AGRE Federated Collection,"AGRE is a DNA repository and family registry, housing a database of genotypic and phenotypic information that is available to autism researchers worldwide.",Autism Speaks,Clara Lajonchere,"Autism Speaks, Inc.",960080,Lab,7371,4642,2729,0.629765296,0.370234704,9/23/09,col_03,row_09
Distance to Freeway and Major Road Data,"This collection contains birth address based measures on distance to interstate highway, state highway, major road, and local road for study subjects enrolled in the CHARGE study. **** NOTICE **** Please note that the subjects for this project were pregnant mothers. The phenotype of the child are associated with the mother's data for some of the mothers. The children's clinical data are not available. Contact the PI of this project should you need that information. **** END OF NOTICE ****",University of Southern California,Rob McConnell,University Of Southern California,577195,Lab,1049,846,203,0.806482364,0.193517636,9/28/09,col_03,row_10
1/2 Development of a Screening Interview for Research Studies of ASD,This collection contains phenotypic data on subjects diagnosed with ASD and subjects with non-ASD diagnoses.,University of Michigan,"Christoper Monk, Somer Bishop and Cathy Lord",Cincinnati Childrens Hosp Med Ctr,736530,Lab,411,302,109,0.734793187,0.265206813,9/29/09,col_03,row_11
Measuring QALYs in Children with ASDs,"Autism spectrum disorders (ASDs) are characterized by impairments in social skills, communication, and cognitive and behavioral functioning. Successful interventions for children with ASDs thus have the potential to not only affect outcomes of the child, but may include substantial health benefits for the family. Guidelines for evaluating the cost-effectiveness of services recommend using the cost per quality adjusted life year (QALY) gained. To date, no studies have attempted to evaluate whether ... more",UAMS - University of Arkansas for Medical Sciences,John Tilford; Karen Kuhlthau,Univ Of Arkansas For Med Scis,975561,Lab,221,189,32,0.85520362,0.14479638,9/30/09,col_03,row_12
Induced pluripotent cells in ASD with macrocephaly,"R01MH89176 - This project will develop lines of pluripotent cells (iPSC) from a longitudinally acquired cohort of patients with autism spectrum disorders (ASD) and macrocephaly and their family members, as well as typically developing children, using cells obtained by a skin biopsy. We will produce several iPSC lines per individual and characterize them with respect to their biology and their structural genetic variation. The aim is create a resource and analytical tool, which will allow us to examine ... more",Yale University,Flora Vaccarino,Yale University,1987576,Lab,29,20,9,0.689655172,0.310344828,9/30/09,col_03,row_13
Treatment as usual and peer engagement in Adolescents with High Functioning Autism,"Multi-site RCT contrasting peer-mediated intervention and typical social skills intervention in teens with HFA.********NOTICE********NOTICE********NOTICE*********Subject ages in these datasets are provided in the unit of months, but are not accurate. They are, instead, approximate ages in months.***************************************************",Seattle Children's Hospital,"Felice Orlich, PhD",Seattle Childrens Hospital,772496,Lab,81,67,14,0.827160494,0.172839506,9/30/09,col_03,row_14
Behavioral Treatment for Autism in Community Settings Using a Telehealth Network,The purpose of this study is to evaluate assessment and treatment procedures for children with autism or a related disorder,University of Iowa,Scott Lindgren,University Of Iowa,748412,Lab,40,36,4,0.9,0.1,9/30/09,col_03,row_15
Identifying Brain-Based Biomarkers for ASD and their Biological Subtypes,This is a multi-modal brain imaging study of Autism Spectrum Disorders to define biomarkers and subtypes of the disorder.--------------------------------------------------------------------No gradient tables provided for DTI data files. fMRI files headers were cleaned - DOB removed; Spectroscopy files were cleaned - DOB and Physician names removed.,Children's Hospital Los Angeles,Bradley S. Peterson,New York State Psychiatric Institute,2431811,Lab,186,143,43,0.768817204,0.231182796,9/30/09,col_03,row_16
Biological Signatures of Autism,Collection of data associated with the Autism Phenome Project and ARRA grant,"University of California, Davis",David G. Amaral,University Of California At Davis,2828090,Lab,141,109,32,0.773049645,0.226950355,9/30/09,col_03,row_17
RNA-Seq data from cerebral cortex in control subjects,"RNA-Seq studies of Gene Expression in Cells and Networks in FI (fronto-insular) and AC (anterior cingulate) cortex in Autism. We seek to understand the cellular bases of autism by using a new technology, RNA-Seq, to determine differences in gene expression in autopsy brains of subjects with well described autism versus age and sex matched neurotypical individuals. We have investigated two specific cortical areas involved in self-awareness and social reciprocity which are abnormal in autism and have ... more",California Institute of Technology,John Allman,California Institute Of Technology,1115419,Lab,35,22,13,0.628571429,0.371428571,9/30/09,col_03,row_18
