id,listing,title,link,abstract,creation_date,organization,grant_number,grant_org,grant_start,grant_end,grant_money,investigators,total_participants,male_participants,female_participants,source,creation_date_parsed,grant_start_parsed,grant_end_parsed,pct_male,pct_female,year,month,day,column,row
11,224,Child/Adolescent Anxiety Multimodal Treatment Study (CAMS),https://nda.nih.gov/edit_collection.html?id=2160,"Anxiety disorders are among the most common conditions affecting children and adolescents. These disorders impair school, social, and family functioning. When left untreated, they also put children at risk for major depression and substance abuse in late adolescence and adulthood. Effective treatments that alleviate symptoms and prevent long-term morbidity and mortality associated with childhood-onset anxiety disorders are needed.During Phase I of this two-phase study, participants are randomly assigned ... more",3/31/15,,U01MH064088,University Of California Los Angeles,9/1/02,5/31/06,1515786,John T. Walkup,488,246,242,lab,3/31/15,9/1/02,5/31/06,0.504098361,0.495901639,2002,9,1,1,12
12,277,Study of Pharmacotherapy of Psychotic Depression (STOP-PD),https://nda.nih.gov/edit_collection.html?id=2278,"Psychotic depression (PD) is a severe disorder that is present in 20% of mixed-age inpatients and in more than 40% of elderly inpatients hospitalized for the treatment of major depression. Acutely, PD is associated with a greater level of depression severity, functional impairment, and resistance to antidepressant treatment than nonpsychotic depression. Longitudinally, PD is associated with a greater likelihood of recurrence, a shorter symptom-free interval, greater disability, and an increased long-term ... more",12/9/14,,U01MH062565,University Of Pittsburgh At Pittsburgh,9/6/02,5/31/08,1479188,Barnett Meyers,259,93,166,lab,12/9/14,9/6/02,5/31/08,0.359073359,0.640926641,2002,9,6,1,13
13,329,RUPP PI PDD: Drug and Behavioral Therapy for Children With Pervasive Developmental Disorders,https://nda.nih.gov/edit_collection.html?id=2349,This 24-week study will compare the safety and effectiveness of medication treatment alone (risperidone or aripiprazole) to medication treatment in combination with a parent management training program.,2/25/16,,U10MH066766,Indiana Univ-Purdue Univ At Indianapolis,9/15/02,7/31/08,2724660,Michael Aman,124,105,19,lab,2/25/16,9/15/02,7/31/08,0.846774194,0.153225806,2002,9,15,1,14
14,208,Treatment of Early Age Mania (TEAM),https://nda.nih.gov/edit_collection.html?id=2144,"Treatment of Early Age Mania (TEAM) was a six year comparative effectiveness study of risperidone, lithium and valproate conducted from 2003-2008 in children aged 6.0-15.11. Subjects were entered into a controlled, randomized, no patient choice, three-strata adaptive strategy trial if they were 6.0-15.11 years old, fit full DSM-IV bipolar I disorder (mixed or manic phase) and had a Children's Global Assessment Scale (CGAS) score less than or equal to 60 (definite clinical impairment). Assignment ... more",9/27/15,,U01MH064869,Johns Hopkins University,9/21/02,6/23/05,988960,Barbara Geller,379,204,175,lab,9/27/15,9/21/02,6/23/05,0.538258575,0.461741425,2002,9,21,1,15
15,217,Research Evaluating the Value of Augmenting Medication with Psychotherapy (REVAMP),https://nda.nih.gov/edit_collection.html?id=2153,Chronic depression affects approximately 5% of adults in the United States and is associated with significant functional impairment and high health care utilization. The combination of drug treatment and psychotherapy may be most effective in treating depression. This study will determine the effects of adjunctive psychotherapy in depressed patients who have failed to respond or have responded only partially to an initial trial medication.Participants receive an initial trial of antidepressant medication ... more,3/31/15,,U01MH062475,Weill Medical Coll Of Cornell Univ,9/24/02,6/30/06,1602564,James P. McCullough,1131,496,635,lab,3/31/15,9/24/02,6/30/06,0.438549956,0.561450044,2002,9,24,1,16
16,159,DCTRS Attention shaping: a reward-based learning method to enhance skills training outcomes in schizophrenia,https://nda.nih.gov/edit_collection.html?id=2086,"Disturbances in sustained attention commonly interfere with the ability of persons with schizophrenia to benefit from evidence-based psychosocial treatments. Cognitive remediation interventions have thus far demonstrated minimal effects on attention, as have medications. There is thus a gap between the existence of effective psychosocial treatments and patients' ability to effectively engage in and benefit from them. We report on the results of a multisite study of attention shaping (AS), a behavioral ... more",5/20/14,University of Rochester Medical Center,R21MH063967,University Of Illinois At Chicago,2/14/03,1/31/07,530436,Steven M. Silverstein,83,50,33,lab,5/20/14,2/14/03,1/31/07,0.602409639,0.397590361,2003,2,14,1,17
17,38,Studies to Advance Autism Research and Treatment (STAART).,https://nda.nih.gov/edit_collection.html?id=1854,"The STAART Network is comprised of eight centers across the country. Most of these centers are evaluating and treating patients, as well as enrolling them into clinical trials.",10/4/10,Icahn School of Medicine at Mount Sinai,U54MH066673,Icahn School Of Medicine At Mount Sinai,5/13/03,4/30/09,7729134,"Aylward, Elizabeth; Buxbaum, Joseph; Dawson, Geraldine; Hollander, Eric; Landa, Rebecca; Rodier, Patricia; Sigman, Marian; Tager-Flusberg, Helen",2007,1531,476,lab,10/4/10,5/13/03,4/30/09,0.762830095,0.237169905,2003,5,13,1,18
18,209,Treatment for Adolescents with Depression Study (TADS)/Substance Use and Other Outcomes Following Treatment for Adolescent Depression (SOFTAD ),https://nda.nih.gov/edit_collection.html?id=2145,"TADS is designed to compare the effectiveness of established treatments for teenagers suffering from major depressive disorder (MDD). The treatments are: psychotherapy (""talking therapy""); medication; and the combination of psychotherapy and medication. Altogether, 432 teenagers (both males and females) ages 12 to 17, will take part in this study at 12 sites in the United States.The TADS design will provide answers to the following questions: What is the long-term effectiveness of medication treatment ... more",9/27/15,,R01MH070494,Duke University,9/1/03,11/30/10,2764421,John F. Curry and John March,439,200,239,lab,9/27/15,9/1/03,11/30/10,0.455580866,0.544419134,2003,9,1,1,19
19,58,Restricted Interests and Repetitive Behaviors in Autism,https://nda.nih.gov/edit_collection.html?id=1887,Collection of a broad array of phenotyping measures in adolescents with high and low functioning autism spectrum disorders that exhibit repetitive behaviors and restricted interest sets,10/17/11,University of North Carolina at Chapel Hill,R01MH073402,Nc State Dept/Hlth & Human Services,7/13/04,4/30/09,849529,Gabriel Dichter,196,152,44,lab,10/17/11,7/13/04,4/30/09,0.775510204,0.224489796,2004,7,13,1,20
20,498,Treatment of Bipolar Mania in Older Adults (GERI-BD),https://nda.nih.gov/edit_collection.html?id=2550,"This is the first controlled acute treatment study of bipolar disorder in adults 60 years or older with current DSM-IV manic, mixed, or hypomanic episodes. The number of older adults with severe and disabling bipolar disorder is increasing, and information to guide the management of the treatment of the disease is lacking in this population. Guidelines for treatment of younger people with bipolar disorder cannot be used for older people, and there are no safety and efficacy data upon which to base ... more",11/9/16,,U01MH068847,Weill Medical Coll Of Cornell Univ,8/1/05,7/31/12,650051,"Robert Young, John Beyer, Laszlo Gyulai, Benoit Mulsant, Martha Sajatovic, Lauren Marangell",224,115,109,lab,11/9/16,8/1/05,7/31/12,0.513392857,0.486607143,2005,8,1,1,21
21,218,Preventing Relapse in Schizophrenia: Oral Antipsychotics Compared To Injectables: Evaluating Efficacy (PROACTIVE),https://nda.nih.gov/edit_collection.html?id=2154,"As is the case with many chronic illnesses, it can be challenging for people with schizophrenia to take multiple pills every day on a long-term basis. At the same time, missing or discontinuing the anti-psychotic medications that treat schizophrenia substantially increases the risk of relapse and re-hospitalization. This study will determine how effective long-acting injectable risperidone is compared to oral antipsychotic medications to help patients who have schizophrenia. Patients who enroll in ... more",3/31/15,,U01MH070008,University Of New Mexico,2/1/06,12/31/11,1015280,Nina R. Schooler,309,89,220,lab,3/31/15,2/1/06,12/31/11,0.28802589,0.71197411,2006,2,1,2,1
22,40,Early Language Development within the Autism Spectrum,https://nda.nih.gov/edit_collection.html?id=1856,This project obtained behavioral data focused on early language and communication development in autism spectrum disorders (ASD). These data were obtained from a sample of young children residing in the state of Wisconsin. All children were between 2-3 years when enrolled in the research project and were continued to be seen annually for re-assessment.A multidisciplinary team of psychologists and speech-language pathologists conducted the evaluations at the Waisman Center on the University of Wisconsin-Madison ... more,12/5/10,University of Wisconsin-Madison,R01DC007223,University Of Wisconsin-Madison,7/1/06,6/30/12,2631949,Susan Ellis-Weismer,97,84,13,lab,12/5/10,7/1/06,6/30/12,0.865979381,0.134020619,2006,7,1,2,2
23,309,Development and validation of software for Internet and PC SCID administration,https://nda.nih.gov/edit_collection.html?id=2323,"""The overall aim of this project is to develop and validate software for computer-assisted administration of the Structured Clinical Interview for DSM-IV Axis I Disorders (SCID) Research Version. The SCID is consistently recognized as the gold standard instrument for generating accurate psychiatric diagnoses, but is cumbersome and expensive to administer. The proposed project will develop Internet-based software to automate the",10/9/15,TeleSage Health Outcomes Inc,R44MH080463,"Telesage, Inc.",5/26/07,11/25/07,99534,Benjamin Brodey,1255,433,822,lab,10/9/15,5/26/07,11/25/07,0.34501992,0.65498008,2007,5,26,2,3
24,11,Longitudinal MRI Study of Infants at Risk for Autism,https://nda.nih.gov/edit_collection.html?id=19,"Research data for the IBIS Autism project. Autism Centers of Excellence (ACE) Network is a collaborative effort by investigators at four clinical sites: University of North Carolina (UNC), University of Washington (UW), Washington University (WU), and Yale University; and one data coordinating center (DCC) at the Montreal Neurological Institute (MNI) to conduct a longitudinal MRI/DTI and behavioral study of infants at high risk for autism (i.e., siblings of autistic individuals) at 6, 12 and 24 months ... more",4/1/08,University of North Carolina at Chapel Hill,R01HD055741,Univ Of North Carolina Chapel Hill,7/1/07,6/30/13,16026783,Joe Piven,1024,710,314,lab,4/1/08,7/1/07,6/30/13,0.693359375,0.306640625,2007,7,1,2,4
25,43,Electrophysiologic Studies of Language Impairment in ASD (Years 1-5),https://nda.nih.gov/edit_collection.html?id=1862,6-15 year old children recruited for MEG studies of auditory processing,1/7/11,Children's Hospital of Philadelphia,R01DC008871,Childrens Hosp Of Philadelphia,7/1/07,6/30/13,1960285,Timothy Roberts,227,175,52,lab,1/7/11,7/1/07,6/30/13,0.77092511,0.22907489,2007,7,1,2,5
26,0,UIC ACE: Translational Studies of Insistence on Sameness in Autism,https://nda.nih.gov/edit_collection.html?id=1,"The UIC ACE was focused on the genetics, neurobiology, cognitive and affective processes, and pharmacology of insistence on sameness (IS) in autism spectrum disorders (ASD). A large sample of children with self-reported autism spectrum disorder will be screened by the Assessment Core for further screening by administration of the ADI-R to the parents. Probands meeting ADI-R criteria for autistic disorder will be recruited for further study if they are also classified by the ADI-R IS items as high ... more",4/1/08,University of Illinois at Chicago,P50HD055751,University Of Illinois At Chicago,8/6/07,7/31/14,9528855,Ed Cook,755,458,297,lab,4/1/08,8/6/07,7/31/14,0.606622517,0.393377483,2007,8,6,2,6
27,1,Biological and Information Processing Mechanisms Underlying Autism,https://nda.nih.gov/edit_collection.html?id=6,"This center focuses on elucidating fundamental information processing and neurobiological mechanisms causing autism with studies of infant siblings, first-diagnosed toddlers, and groups of children, adolescents, and adults with and without autism. Project I: Development of Categorization Knowledge in Low Functioning Autism focuses on the earliest manifestations of autism and information processing mechanisms underlying social and cognitive symptoms. Project II: Disturbances of Affective Contact: ... more",4/1/08,University of Pittsburgh Medical Center,P50HD055748,University Of Pittsburgh At Pittsburgh,8/6/07,7/31/14,9700596,"Nancy Minshew, M.D., Mark Strauss, Ph.D., Kevin Pelphrey, Ph.D., Marcel Just, Ph.D., Thomas Mitchell, Ph.D., and Diane Williams, Ph.D.",991,659,332,lab,4/1/08,8/6/07,7/31/14,0.664984864,0.335015136,2007,8,6,2,7
28,4,Biomarkers of Autism at 12 Months: From Brain Overgrowth to Genes,https://nda.nih.gov/edit_collection.html?id=9,"Behavioral data from the UCSD Autism Center of Excellence. This first data deposit will include Mullen Scales of Early Learning Scores from infants ages 12-36 months who are part of the ACE. Infants represent those at risk for an ASD, language delay (LD) and developmental delay (DD). Normal control data will be deposited as well. **NOTE: Headers from imaging data submitted to this collection contained Personally Identifiable Information (PII) and have been cleaned by NDA Staff**",4/1/08,University of California San Diego,P50MH081755,"University Of California, San Diego",8/6/07,6/30/14,10322836,"Eric Courchesne, Karen Pierce and others.",464,362,102,lab,4/1/08,8/6/07,6/30/14,0.780172414,0.219827586,2007,8,6,2,8
29,5,UCLA Sigman/Bookheimer ACE and ARRA,https://nda.nih.gov/edit_collection.html?id=10,ACE Projects: 1) PI Sigman - Infant Sibs. 2) PI Geschwind - Genetics. 3) PI Dapretto - Mirror neuron and imaging. 4) PI Kasari - Optimizing outcomes for toddlers. 5) PI McCracken - Understanding repetitive behaviors. ARRA: PI Bookheimer - Neural and Phenotypic Correlates of Autism Risk Genes,4/1/08,"University of California, Los Angeles",P50HD055784,University Of California Los Angeles,8/6/07,7/31/12,11465042,"Sigman M, Geschwind D, Bookheimer S",455,385,70,lab,4/1/08,8/6/07,7/31/12,0.846153846,0.153846154,2007,8,6,2,9
30,32,UW ACE Extended Family Study,https://nda.nih.gov/edit_collection.html?id=1654,University of Washington ACE projects,7/15/10,University of Washington,P50HD055782,University Of Washington,8/6/07,7/31/13,10998234,Bryan King,786,468,318,lab,7/15/10,8/6/07,7/31/13,0.595419847,0.404580153,2007,8,6,2,10
31,9,Intensive Intervention for Toddlers With Autism (EARLY STEPS),https://nda.nih.gov/edit_collection.html?id=16,A Multi-Site Randomized Study of Intensive Treatment for Toddlers with Autism,1/22/10,UC Davis MIND Institute,R01MH081757,University Of California At Davis,9/20/07,7/31/13,14775720,Sally J. Rogers,98,76,22,lab,1/22/10,9/20/07,7/31/13,0.775510204,0.224489796,2007,9,20,2,11
32,123,Autism genetics: homozygosity mapping and functional validation (Years 1-5),https://nda.nih.gov/edit_collection.html?id=2029,"Although high throughput sequencing (HTS) methods allow systematic analysis of genetic variation across the entire exome, or even the entire genome, the interpretation of this data faces analytical challenges that have by no means been solved. The use of consanguineous pedigrees, in which parents share ancestry, allows the identification of candidate genes that can then be analyzed more broadly in nonconsanguineous families. Consanguineous families 1] reduce the heterogeneity of ASD, 2] simplify ... more",1/11/13,Children's Hospital Boston,R01MH083565,Boston Childrens Hospital,9/28/07,4/30/12,2849882,Christopher A. Walsh,369,234,135,lab,1/11/13,9/28/07,4/30/12,0.634146341,0.365853659,2007,9,28,2,12
33,274,Bipolar & Schizophrenia Consortium for Parsing Intermediate Phenotypes (B-SNIP 1),https://nda.nih.gov/edit_collection.html?id=2274,"The overall goal of the proposed research is to examine a broad panel of putative endophenotypes in affected individuals with schizophrenia and bipolar and their unaffected relatives in order to: 1) characterize the degree of familial phenotypic overlap between SZ and psychotic BP; 2) identify patterns of endophenotypes unique t the two disorders, and 3) contrast the heritability of endophenotypes across the disorders. To achieve these goals, we will recruit 500 SZ and 500 BP I (with psychosis) probands, ... more",12/9/14,UT Southwestern Medical School,R01MH077945,Yale University,9/29/07,5/31/13,3518485,Carol Tamminga,2431,1026,1405,lab,12/9/14,9/29/07,5/31/13,0.42204854,0.57795146,2007,9,29,2,13
34,460,Consortium for Neuropsychiatric Phenomics,https://nda.nih.gov/edit_collection.html?id=2499,"The Consortium for Neuropsychiatric Phenomics advances the NIH Roadmap Initiative by assembling a transdisciplinary research team of the future to address major unsolved challenges in research on neuropsychiatric disorders. The CNP leverages the new discipline of phenomics the systematic study of phenotypes on a genome-wide scale by integrating basic, clinical and information sciences. Neuropsychiatric disorders have enormous public health significance, and there is currently a broad chasm between ... more",9/19/16,"University of California, Los Angeles",PL1MH083271,University Of California Los Angeles,9/29/07,6/30/13,5804557,Robert M Bilder,1662,862,800,lab,9/19/16,9/29/07,6/30/13,0.518652226,0.481347774,2007,9,29,2,14
35,7,Early Pharmacotherapy Guided by Biomarkers in Autism,https://nda.nih.gov/edit_collection.html?id=14,Clinical trial of buspirone in young children with autism testing a PET scan of serotonin synthesis as a biomarker of drug response,1/15/10,Wayne State University,U01NS061264,Wayne State University,2/1/08,1/31/16,6054366,Diane C Chugani,159,132,27,lab,1/15/10,2/1/08,1/31/16,0.830188679,0.169811321,2008,2,1,2,15
36,2,A Comprehensive Approach to Identification of Autism Susceptibility Genes with the AGRE Center for Genomic and Phenomic Studies in Autism,https://nda.nih.gov/edit_collection.html?id=7,"AGRE is a DNA repository and family registry, housing a database of genotypic and phenotypic information that is available to autism researchers worldwide.",4/1/08,"University of California, Los Angeles",R01MH081754,University Of California Los Angeles,4/1/08,3/24/13,14584906,Clara Lajonchere and Dan Geschwind,2,1,1,lab,4/1/08,4/1/08,3/24/13,0.5,0.5,2008,4,1,2,16
37,3,Yale Autism Center of Excellence: Mechanisms of Social Engagement in the Autism Spectrum Disorders,https://nda.nih.gov/edit_collection.html?id=8,"The Yale ACE consists of 5 project areas and 3 core resources. Projects I, II, and III focus on the same cohort of 12- to 24-month old infants with ASD followed up longitudinally. Project IV involves structural and functional neuroimaging protocols on a group of 10-year-olds with ASD who were extensively characterized at the age of 2 and 4 years. Project V includes cytogenetic studies of the infants evaluated in Projects I, II, and III, and the ASD children evaluated in Project IV. The Administrative ... more",4/1/08,Yale University,P50MH081756,Yale University,4/1/08,3/31/14,12080414,Fred Volkmar,245,194,51,lab,4/1/08,4/1/08,3/31/14,0.791836735,0.208163265,2008,4,1,2,17
38,29,Early Autism Risk Longitudinal Investigation (EARLI) Network,https://nda.nih.gov/edit_collection.html?id=1600,"Descriptive data for EARLI (probands and sibling) ADOS, Vineland, SRS, SCQ",4/1/08,Drexel University,R01ES016443,Drexel University,4/1/08,3/31/15,15566054,Craig Newschaffer,729,361,368,lab,4/1/08,4/1/08,3/31/15,0.495198903,0.504801097,2008,4,1,2,18
39,81,Synaptic A-to-I RNA editing in autistic and neurotypical cerebella,https://nda.nih.gov/edit_collection.html?id=1951,Ultradeep 454 and Illumina sequencing of cDNA from postmortem cerebella of individuals with ASD and matched neurotypical controls,6/11/12,Boston Children's Hospital,R01MH085143,Boston Childrens Hospital,7/22/08,12/31/13,3595969,Louis Kunkel,25,15,10,lab,6/11/12,7/22/08,12/31/13,0.6,0.4,2008,7,22,2,19
40,86,Longitudinal Studies of Autism Spectrum Disorders: From 2 to 23,https://nda.nih.gov/edit_collection.html?id=1965,Longitudinal Studies of Autism Spectrum Disorders (ASD): From 2 to 23 - Increasing Understanding of Nonverbal School-Aged Children and Children with Limited Language Skills,7/12/12,University of Michigan,R01MH081873,Weill Medical Coll Of Cornell Univ,9/1/08,5/31/15,2692305,"Cathy Lord, Ph. D",63,49,14,lab,7/12/12,9/1/08,5/31/15,0.777777778,0.222222222,2008,9,1,2,20
41,56,Predicting Useful Speech in Children With Autism,https://nda.nih.gov/edit_collection.html?id=1885,"Predicting Useful Speech in Children with ASD: Analyzing speech processing, word processing, and pre-speech vocalizations",8/19/11,Vanderbilt University,R01DC006893,Vanderbilt University,2/1/09,1/31/14,2940391,Paul Yoder,150,86,64,lab,8/19/11,2/1/09,1/31/14,0.573333333,0.426666667,2009,2,1,2,21
42,69,Atypical Late Neurodevelopment in Autism,https://nda.nih.gov/edit_collection.html?id=1906,Longitudinal neuroimaging and neuropsychological study to understand how brain mechanisms and clinical phenotypes in autism are related.,2/13/12,University of Wisconsin-Madison,R01MH084795,University Of Utah,4/1/09,1/31/14,1577534,"Janet E Lainhart, MD",174,168,6,lab,2/13/12,4/1/09,1/31/14,0.965517241,0.034482759,2009,4,1,3,1
43,67,Neurobehavioral Research on Infants at Risk for SLI and Autism,https://nda.nih.gov/edit_collection.html?id=1900,The specific aims of the research are (1) to identify markers that distinguish between infants at risk for SLI or ASD and low risk controls; (2) to identify the predictors of later SLI and ASD diagnoses (at 36 months of age) from measures collected between 6 and 12 months of age; and (3) to compare developmental trajectories of key language and related social/cognitive measures between 6 and 36 months in infants with and without clinical outcomes. These aims will be pursued in a longitudinal ... more,1/27/12,Boston University,R01DC010290,Boston University (Charles River Campus),7/1/09,6/30/15,3953029,Helen Tager-flusberg,33,25,8,lab,1/27/12,7/1/09,6/30/15,0.757575758,0.242424242,2009,7,1,3,2
44,257,A Comparison of Long-acting Injectable Medications for Schizophrenia (ACLAIMS),https://nda.nih.gov/edit_collection.html?id=2247,"The purpose of this research study is to compare the ""real-world"" effectiveness of two FDA-approved and widely used long-acting injectable antipsychotic medications (paliperidone palmitate and haloperidol decanoate) in patients with schizophrenia or schizoaffective disorder who are expected to benefit from the improved medication compliance associated with injectable medications. The goal is to evaluate the effects of the medications on outcomes of importance to patients (relapse, symptoms, adverse ... more",12/9/14,,R01MH081234,Duke University,7/1/09,3/31/16,1651336,Joseph McEvoy and Scott Stroup,315,234,81,lab,12/9/14,7/1/09,3/31/16,0.742857143,0.257142857,2009,7,1,3,3
